tf,target,mode,weight,confidence
E2F4,PLK1,Repression,-1.0,A
E2F4,PLK4,Repression,-1.0,A
E2F4,PPARG,Repression,-1.0,A
E2F4,RAD51,Repression,-1.0,A
E2F4,TOPBP1,Repression,-1.0,A
E2F4,TTK,Repression,-1.0,A
E2F5,MYC,Repression,-1.0,A
E2F6,APAF1,Repression,-1.0,A
E2F6,BRCA1,Repression,-1.0,A
E2F6,E2F1,Repression,-1.0,A
E2F7,E2F1,Repression,-1.0,A
E2F8,E2F1,Repression,-1.0,A
E4F1,CCNA2,Repression,-1.0,A
EGR1,ABCB1,Activation,1.0,A
EGR1,ACE,Activation,1.0,A
EGR1,ACHE,Activation,1.0,A
EGR1,AKR1B1,Activation,1.0,A
EGR1,ALOX5,Activation,1.0,A
EGR1,AR,Repression,-1.0,A
EGR1,ATF3,Activation,1.0,A
EGR1,BCAR1,Activation,1.0,A
EGR1,CACNA1H,Activation,1.0,A
EGR1,CCND1,Activation,1.0,A
EGR1,CD28,Activation,1.0,A
EGR1,CDK5R1,Activation,1.0,A
EGR1,CDKN1A,Activation,1.0,A
EGR1,CHGA,Activation,1.0,A
EGR1,CYP2B6,Activation,1.0,A
EGR1,DMRT1,Activation,1.0,A
EGR1,EAPP,Activation,1.0,A
EGR1,EGFR,Activation,1.0,A
EGR1,EP300,Activation,1.0,A
EGR1,F3,Activation,1.0,A
EGR1,FAS,Repression,-1.0,A
EGR1,FASLG,Activation,1.0,A
EGR1,FCER2,Repression,-1.0,A
EGR1,FGF2,Activation,1.0,A
EGR1,FLT1,Activation,1.0,A
EGR1,FN1,Activation,1.0,A
EGR1,GDF15,Activation,1.0,A
EGR1,GDNF,Activation,1.0,A
EGR1,GGPS1,Activation,1.0,A
EGR1,HIF1A,Activation,1.0,A
EGR1,HSD11B2,Repression,-1.0,A
EGR1,HYAL1,Activation,1.0,A
EGR1,IFNG,Activation,1.0,A
EGR1,IGF2,Activation,1.0,A
EGR1,IL2,Activation,1.0,A
EGR1,IL2RB,Activation,1.0,A
EGR1,IL3,Activation,1.0,A
EGR1,IL6,Repression,-1.0,A
EGR1,IMPDH2,Activation,1.0,A
EGR1,LDLR,Activation,1.0,A
EGR1,LHB,Activation,1.0,A
EGR1,LMTK2,Activation,1.0,A
EGR1,LTB,Activation,1.0,A
EGR1,MMP14,Activation,1.0,A
EGR1,MYB,Repression,-1.0,A
EGR1,NAB2,Activation,1.0,A
EGR1,NFKB1,Activation,1.0,A
EGR1,PCSK2,Activation,1.0,A
EGR1,PDGFB,Activation,1.0,A
EGR1,PDGFC,Activation,1.0,A
EGR1,PLAU,Activation,1.0,A
EGR1,PLAUR,Activation,1.0,A
EGR1,POR,Activation,1.0,A
EGR1,PPARG,Repression,-1.0,A
EGR1,PSEN2,Repression,-1.0,A
EGR1,PTEN,Activation,1.0,A
EGR1,PTGES,Activation,1.0,A
EGR1,PTGS2,Activation,1.0,A
EGR1,PTP4A1,Activation,1.0,A
EGR1,RBL2,Activation,1.0,A
EGR1,SLC4A2,Activation,1.0,A
EGR1,SLC9A3,Activation,1.0,A
EGR1,SOD1,Activation,1.0,A
EGR1,SPRY1,Activation,1.0,A
EGR1,STIM1,Activation,1.0,A
EGR1,STMN1,Activation,1.0,A
EGR1,SYN1,Activation,1.0,A
EGR1,SYN2,Activation,1.0,A
EGR1,TBXA2R,Activation,1.0,A
EGR1,TCF4,Activation,1.0,A
EGR1,TFPI2,Activation,1.0,A
EGR1,TGFBR2,Repression,-1.0,A
EGR1,TH,Activation,1.0,A
EGR1,TMPO,Activation,1.0,A
EGR1,TNF,Activation,1.0,A
EGR1,TOE1,Activation,1.0,A
EGR1,TP53,Activation,1.0,A
EGR1,TP73,Activation,1.0,A
EGR1,UBE2S,Activation,1.0,A
EGR1,VEGFA,Activation,1.0,A
EGR1,WNT4,Repression,-1.0,A
EGR2,FASLG,Repression,-1.0,A
EGR2,IGF2,Activation,1.0,A
EGR3,NAB2,Activation,1.0,A
EHF,SPRR1B,Activation,1.0,A
ELF1,BRCA2,Activation,1.0,A
ELF1,MEIS1,Activation,1.0,A
ELF2,VCP,Activation,1.0,A
ELF3,SPRR2A,Activation,1.0,A
ELK1,CITED2,Activation,1.0,A
ELK1,ERBB2,Activation,1.0,A
ELK1,FOS,Activation,1.0,A
ELK1,FOSL1,Activation,1.0,A
ELK1,FUT4,Activation,1.0,A
ELK1,MCL1,Activation,1.0,A
ELK1,PDGFB,Activation,1.0,A
ELK1,PSEN1,Activation,1.0,A
ELK1,PTPRZ1,Activation,1.0,A
ELK1,SRF,Activation,1.0,A
ELK1,TLR9,Activation,1.0,A
ELK4,FOS,Activation,1.0,A
EN1,UTRN,Repression,-1.0,A
EPAS1,CA9,Activation,1.0,A
EPAS1,FLT1,Activation,1.0,A
EPAS1,SERPINE1,Activation,1.0,A
EPAS1,VEGFA,Activation,1.0,A
ERF,ETS2,Repression,-1.0,A
ERG,CDH5,Activation,1.0,A
ERG,ENG,Activation,1.0,A
ERG,FGF2,Repression,-1.0,A
ERG,HMOX1,Activation,1.0,A
ERG,ICAM1,Repression,-1.0,A
ERG,ICAM2,Activation,1.0,A
ERG,TMPRSS2,Activation,1.0,A
ERG,VIM,Activation,1.0,A
ERG,VWF,Activation,1.0,A
ESR1,ABCG2,Activation,1.0,A
ESR1,AR,Activation,1.0,A
ESR1,AVP,Activation,1.0,A
ESR1,BCL2,Activation,1.0,A
ESR1,BLM,Activation,1.0,A
ESR1,BTG2,Repression,-1.0,A
ESR1,CCND1,Activation,1.0,A
ESR1,CD24,Repression,-1.0,A
ESR1,CDH1,Activation,1.0,A
ESR1,CDKN1A,Activation,1.0,A
ESR1,CDKN1B,Repression,-1.0,A
ESR1,CEBPB,Activation,1.0,A
ESR1,CHAT,Activation,1.0,A
ESR1,CRH,Repression,-1.0,A
ESR1,CRHBP,Activation,1.0,A
ESR1,CTNNB1,Repression,-1.0,A
ESR1,CTSD,Activation,1.0,A
ESR1,CXCL12,Activation,1.0,A
ESR1,CYP19A1,Activation,1.0,A
ESR1,CYP1A1,Repression,-1.0,A
ESR1,CYP1B1,Activation,1.0,A
ESR1,CYP2C19,Repression,-1.0,A
ESR1,E2F1,Activation,1.0,A
ESR1,EGFR,Activation,1.0,A
ESR1,ESRRA,Activation,1.0,A
ESR1,F12,Activation,1.0,A
ESR1,FOS,Activation,1.0,A
ESR1,FOXP1,Activation,1.0,A
ESR1,GREB1,Activation,1.0,A
ESR1,HSPB1,Activation,1.0,A
ESR1,JUN,Activation,1.0,A
ESR1,JUNB,Activation,1.0,A
ESR1,KDR,Activation,1.0,A
ESR1,KRT19,Activation,1.0,A
ESR1,MDM2,Activation,1.0,A
ESR1,MICB,Activation,1.0,A
ESR1,MMP13,Activation,1.0,A
ESR1,MTA3,Activation,1.0,A
ESR1,MYC,Activation,1.0,A
ESR1,NQO1,Repression,-1.0,A
ESR1,NR5A2,Activation,1.0,A
ESR1,NRF1,Activation,1.0,A
ESR1,OXT,Repression,-1.0,A
ESR1,PELP1,Activation,1.0,A
ESR1,PGR,Activation,1.0,A
ESR1,PLAC1,Activation,1.0,A
ESR1,PMAIP1,Activation,1.0,A
ESR1,PTMA,Repression,-1.0,A
ESR1,RARA,Activation,1.0,A
ESR1,RET,Activation,1.0,A
ESR1,RUNX2,Activation,1.0,A
ESR1,SERPINB9,Activation,1.0,A
ESR1,SERPINE1,Activation,1.0,A
ESR1,SP1,Activation,1.0,A
ESR1,TAC3,Activation,1.0,A
