tf,target,mode,weight,confidence
JUN,TXN,Activation,1.0,A
JUN,TNFRSF10A,Activation,1.0,A
JUN,TIMP2,Activation,1.0,A
JUN,SPRR3,Activation,1.0,A
JUN,RARB,Activation,1.0,A
JUN,POLD2,Activation,1.0,A
JUN,PDHA1,Activation,1.0,A
JUN,NOX5,Activation,1.0,A
JUN,NFKB2,Activation,1.0,A
JUN,RUNX2,Activation,1.0,A
JUN,MGP,Activation,1.0,A
JUN,LBP,Repression,-1.0,A
JUN,HEY1,Activation,1.0,A
JUN,ETS2,Activation,1.0,A
JUN,CTSL,Activation,1.0,A
JUN,CREM,Activation,1.0,A
JUN,CD82,Activation,1.0,A
JUN,BATF3,Activation,1.0,A
IRF9,PML,Activation,1.0,A
IRF9,IL27,Repression,-1.0,A
JUN,ACTA1,Activation,1.0,A
JUND,IL3,Activation,1.0,A
NCOA3,BCL2,Activation,1.0,A
NFIC,JUN,Activation,1.0,A
NFATC1,IFNG,Activation,1.0,A
NFKB1,PDE7A,Activation,1.0,A
NFKB1,PLAUR,Activation,1.0,A
NFKB1,NOLC1,Activation,1.0,A
NFKB1,MMP2,Activation,1.0,A
NFKB1,MMP14,Activation,1.0,A
NFKB1,MICA,Activation,1.0,A
NFKB1,MAT2A,Activation,1.0,A
NFKB1,MADCAM1,Activation,1.0,A
NFKB1,LPL,Activation,1.0,A
NFKB1,PLAU,Activation,1.0,A
NFKB1,KLK3,Activation,1.0,A
NFKB1,IRF1,Activation,1.0,A
NFKB1,IL12B,Repression,-1.0,A
NFKB1,IL12A,Activation,1.0,A
NFKB1,HLA-F,Activation,1.0,A
NFKB1,GSTP1,Activation,1.0,A
NFKB1,RIPK2,Activation,1.0,A
NFKB1,GDNF,Activation,1.0,A
NFKB1,GADD45G,Activation,1.0,A
NFKB1,VEGFD,Activation,1.0,A
NFKB1,JUNB,Activation,1.0,A
NFKB1,PTAFR,Activation,1.0,A
NFKB1,PTPN13,Activation,1.0,A
NFKB1,RRM2B,Activation,1.0,A
NFKB2,CCL21,Activation,1.0,A
NFKB1,XIAP,Activation,1.0,A
NFKB1,VEGFA,Activation,1.0,A
NR2F6,LHCGR,Repression,-1.0,A
NFKB1,TRAF1,Activation,1.0,A
NFKB1,TNFSF10,Activation,1.0,A
NFKB1,TNFRSF10B,Activation,1.0,A
NFKB1,TNFRSF10A,Activation,1.0,A
NFKB1,TNFAIP3,Activation,1.0,A
NFKB1,TNC,Activation,1.0,A
PAX6,ITGA5,Activation,1.0,A
NFKB1,TLR2,Activation,1.0,A
NFKB1,TIMP1,Repression,-1.0,A
NFKB1,THBD,Repression,-1.0,A
NFKB1,TFPI2,Activation,1.0,A
NFKB1,TBX21,Activation,1.0,A
NFKB1,TFF3,Activation,1.0,A
NFKB1,SOCS3,Activation,1.0,A
NFKB1,SERPINE1,Activation,1.0,A
NFKB1,SERPINB1,Activation,1.0,A
NFKB1,SERPINA3,Repression,-1.0,A
NFKB1,FBP1,Activation,1.0,A
NFKB1,FASLG,Activation,1.0,A
NFKB1,F8,Activation,1.0,A
NFKB1,F3,Activation,1.0,A
NFKB1,AGER,Activation,1.0,A
NFKB1,ADORA1,Activation,1.0,A
NFKB1,ABCB1,Activation,1.0,A
NFKB1,A2M,Activation,1.0,A
NFIC,TFPI2,Activation,1.0,A
NFIC,SLC34A2,Activation,1.0,A
NFIC,POLE2,Activation,1.0,A
NFIC,POLD2,Activation,1.0,A
NFIC,MATN1,Repression,-1.0,A
NFIC,ITGA5,Repression,-1.0,A
NFIC,HSD11B2,Activation,1.0,A
NFIC,HMGB1,Activation,1.0,A
NFIC,GUCY1B1,Activation,1.0,A
NFIC,GTF3C2,Activation,1.0,A
NFIC,GTF3C1,Activation,1.0,A
NFIC,COL1A1,Activation,1.0,A
NFIC,COL18A1,Activation,1.0,A
NFIC,ALAS1,Activation,1.0,A
NFIA,CDKN1A,Repression,-1.0,A
NFE2L2,MTHFR,Activation,1.0,A
NFE2L2,GSTA1,Activation,1.0,A
