source_group,dataset,condition,edge_set,metric,top_level,repeats,mean_curated_positive_fraction,sd_curated_positive_fraction,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,repeats_above_0_5,mean_delta_vs_0_5,mean_actual_top_n,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,0.553,0.0290784379834191,0.0180230025862013,0.51,0.61,10,0.053,100.0,10,484.0,242.0,242.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,484.0,0,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,0.588,0.0379473319220205,0.0235199999999999,0.52,0.64,10,0.088,25.0,10,484.0,242.0,242.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,coexpression_probability,top_100,10,0.5,0.0,0.0,0.5,0.5,0,0.0,100.0,10,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,coexpression_probability,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,484.0,0,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,0.524,0.0126491106406735,0.00784,0.52,0.56,10,0.024,25.0,10,484.0,242.0,242.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,mutual_information,top_100,10,0.525,0.0143372087784044,0.0088862940657071,0.49,0.54,9,0.025,100.0,10,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,mutual_information,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,484.0,0,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,mutual_information,top_5pct,10,0.588,0.026997942308422,0.0167334980071578,0.56,0.64,10,0.088,25.0,10,484.0,242.0,242.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,pearson,top_100,10,0.52,0.0221108319357026,0.0137044356160899,0.5,0.56,8,0.02,100.0,10,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,pearson,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,484.0,0,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,pearson,top_5pct,10,0.608,0.0168654808542313,0.0104533333333333,0.6,0.64,10,0.1079999999999999,25.0,10,484.0,242.0,242.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,spearman,top_100,10,0.532,0.0161932770686548,0.0100366971105483,0.5,0.56,9,0.032,100.0,10,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,spearman,top_500,10,0.5,0.0,0.0,0.5,0.5,0,0.0,484.0,0,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,spearman,top_5pct,10,0.512,0.0619677335393186,0.0384079991668402,0.44,0.6,6,0.012,25.0,10,484.0,242.0,242.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,codetection_odds_ratio,top_100,10,0.65,0.0149071198499986,0.0092395286075042,0.63,0.67,10,0.15,100.0,10,2146.0,1073.0,1073.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,codetection_odds_ratio,top_500,10,0.5606,0.0102869928658583,0.006375944235083,0.548,0.578,10,0.0606,500.0,10,2146.0,1073.0,1073.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,codetection_odds_ratio,top_5pct,10,0.6453703703703704,0.0180232115069832,0.0111709022261524,0.6111111111111112,0.6666666666666666,10,0.1453703703703703,108.0,10,2146.0,1073.0,1073.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,coexpression_probability,top_100,10,0.518,0.0063245553203367,0.00392,0.51,0.53,10,0.018,100.0,10,2146.0,1073.0,1073.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,coexpression_probability,top_500,10,0.5112,0.0021499353995462,0.0013325437662189,0.506,0.514,10,0.0112,500.0,10,2146.0,1073.0,1073.0,True
