run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,1,760,760,0.5,0.5227605609418282,0.5281675510911208,1.2105263157894737,0.0467859487980604,0.0449336133897304,0.0018523354083299,0.0455211218836564
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,1,760,760,0.5,0.510343663434903,0.5255521000913372,1.2894736842105263,0.0383010562509298,0.0401797089725732,-0.0018786527216434,0.020687326869806
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,1,760,760,0.5,0.5094624307479224,0.5218267709505782,1.236842105263158,0.0008155512623488,0.0008373437449336,-2.179248258471489e-05,0.0189248614958448
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,1,760,760,0.5,0.5321875,0.5166373973818721,1.0,0.0149889816530048,0.0132634816691279,0.0017254999838769,0.064375
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,1,760,760,0.5,0.55626817867036,0.5472279086108458,1.2105263157894737,1.3666179776191711,1.2957156896591189,0.0709022879600524,0.1125363573407203
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,2,760,760,0.5,0.5181994459833795,0.5269924205563428,1.2894736842105263,0.0467859487980604,0.0446580704301595,0.0021278783679008,0.036398891966759
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,2,760,760,0.5,0.5112880886426593,0.5263161071185977,1.3157894736842106,0.0383010562509298,0.0380016528069973,0.0002994034439325,0.0225761772853185
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,2,760,760,0.5,0.5143706717451524,0.5247974365685579,1.2894736842105263,0.0008155512623488,0.0007965911645442,1.8960097804665565e-05,0.0287413434903047
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,2,760,760,0.5,0.5287846260387812,0.514914134717025,0.9736842105263158,0.0149889816530048,0.013305059634149,0.0016839220188558,0.0575692520775623
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,2,760,760,0.5,0.5509323060941828,0.5450106262902022,1.2894736842105263,1.3666179776191711,1.300734519958496,0.065883457660675,0.1018646121883657
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,3,760,760,0.5,0.52702216066482,0.5314768569861392,1.3421052631578947,0.0467859487980604,0.0455907303839921,0.0011952184140682,0.0540443213296399
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,3,760,760,0.5,0.5153670360110804,0.5281746322762169,1.3421052631578947,0.0383010562509298,0.0401422772556543,-0.0018412210047245,0.0307340720221607
