dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,9,294,294,0.5,0.5062069045305198,0.5046968803258415,1.0666666666666667,0.003942709416151047,0.004009543918073177,-6.683450192213058e-05,0.012413809061039283
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,9,294,294,0.5,0.5232946920264705,0.5210415720266747,1.0666666666666667,0.030667024664580822,0.02966044843196869,0.001006576232612133,0.046589384052940996
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,9,294,294,0.5,0.5862603544819288,0.5781149843629019,1.3333333333333333,1.3645514249801636,1.2784075140953064,0.08614391088485718,0.17252070896385763
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,0,405,405,0.5,0.5478067367779302,0.5583849196379493,1.2682926829268293,0.02376898005604744,0.020992131903767586,0.002776848152279854,0.09561347355586047
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,0,405,405,0.5,0.5423746380124981,0.5567603108628346,1.3658536585365855,0.03176947310566902,0.02961675450205803,0.0021527186036109924,0.08474927602499616
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,0,405,405,0.5,0.5218716659045878,0.536047494233123,1.1219512195121952,0.0020384809467941523,0.0019316988764330745,0.00010678207036107779,0.043743331809175334
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,0,405,405,0.5,0.5120804755372657,0.5134778431888571,1.024390243902439,0.01830863207578659,0.017872711643576622,0.00043592043220996857,0.02416095107453131
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,0,405,405,0.5,0.5433135192805975,0.5558383603957995,1.2682926829268293,1.400678038597107,1.3595330715179443,0.0411449670791626,0.08662703856119491
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,1,405,405,0.5,0.5374973327236703,0.5505295255846415,1.2682926829268293,0.02376898005604744,0.022584794089198112,0.001184185966849327,0.07499466544734035
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,1,405,405,0.5,0.5357597927145252,0.5539275289891246,1.3658536585365855,0.03176947310566902,0.029714476317167282,0.0020549967885017395,0.07151958542905046
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,1,405,405,0.5,0.5159152568206066,0.5373007682978608,1.3170731707317074,0.0020384809467941523,0.0018888775957748294,0.00014960335101932287,0.03183051364121314
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,1,405,405,0.5,0.5159731748209114,0.5197131860724513,1.0731707317073171,0.01830863207578659,0.017436791211366653,0.0008718408644199371,0.03194634964182286
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,1,405,405,0.5,0.5547111720774272,0.5581400543200619,1.2682926829268293,1.400678038597107,1.3430917263031006,0.05758631229400635,0.10942234415485452
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,2,405,405,0.5,0.5400701112635269,0.5519143172640029,1.3170731707317074,0.02376898005604744,0.022165503352880478,0.0016034767031669617,0.08014022252705377
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,2,405,405,0.5,0.5362475232434081,0.5532382146640553,1.3658536585365855,0.03176947310566902,0.02912934683263302,0.002640126273036003,0.07249504648681593
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,2,405,405,0.5,0.5291510440481634,0.5410119716352462,1.2195121951219512,0.0020384809467941523,0.0017851878656074405,0.0002532930811867118,0.058302088096326754
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,2,405,405,0.5,0.5161774119798811,0.5199995283748499,1.0731707317073171,0.01830863207578659,0.017436791211366653,0.0008718408644199371,0.03235482395976219
