run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,9,393,393,0.5,0.4880154614144475,0.506577937119155,1.1,0.0442497879266738,0.0446830205619335,-0.0004332326352596,-0.023969077171105
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,9,393,393,0.5,0.4824537549611846,0.5014233662579608,1.1,0.0008624388137832,0.0010168775916099,-0.0001544387778267,-0.0350924900776308
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,9,393,393,0.5,0.5270024409351954,0.5169273446178672,1.1,0.0192722715437412,0.0179673768579959,0.0013048946857452,0.0540048818703908
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,9,393,393,0.5,0.5488963994587209,0.5339230426174129,1.1,1.4571717977523804,1.3430237770080566,0.1141480207443237,0.097792798917442
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,pearson,0,592,592,0.5,0.5357640157048941,0.524446429483702,1.0,0.0519636329263448,0.043916979804635,0.0080466531217098,0.0715280314097881
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,spearman,0,592,592,0.5,0.5314754154492329,0.5205350778537439,0.9666666666666668,0.0538311805576086,0.0487440954893827,0.0050870850682258,0.062950830898466
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,mutual_information,0,592,592,0.5,0.5233889928780131,0.513669025385217,0.9333333333333332,0.0013032138813287,0.0010981906671077,0.000205023214221,0.0467779857560262
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,coexpression_probability,0,592,592,0.5,0.529420996165084,0.5164333426921535,1.0666666666666669,0.0213299877941608,0.0198243418708443,0.0015056459233164,0.0588419923301679
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,codetection_odds_ratio,0,592,592,0.5,0.5777255295836378,0.5491111686897117,1.2,1.5725980401039124,1.4213228821754456,0.1512751579284668,0.1554510591672753
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,pearson,1,592,592,0.5,0.5346497785792549,0.5196995135195858,1.0333333333333334,0.0519636329263448,0.0447132289409637,0.0072504039853811,0.0692995571585097
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,spearman,1,592,592,0.5,0.5331203775566107,0.5191575120055282,0.9666666666666668,0.0538311805576086,0.046191718429327,0.0076394621282815,0.0662407551132213
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,mutual_information,1,592,592,0.5,0.5261524721512052,0.5135007105469545,0.8666666666666667,0.0013032138813287,0.0010919668711721,0.0002112470101565,0.0523049443024106
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,coexpression_probability,1,592,592,0.5,0.5281626643535428,0.5159979989869061,1.1333333333333333,0.0213299877941608,0.0207026349380612,0.0006273528560996,0.0563253287070855
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,codetection_odds_ratio,1,592,592,0.5,0.5817045402666179,0.5511849820276353,1.1666666666666667,1.5725980401039124,1.4108899235725405,0.161708116531372,0.163409080533236
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,pearson,2,592,592,0.5,0.5369210532322863,0.5271217077249656,1.1,0.0519636329263448,0.0442489236593246,0.0077147092670202,0.0738421064645726
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,spearman,2,592,592,0.5,0.5378512486303871,0.5261334166201534,1.0333333333333334,0.0538311805576086,0.0474440678954124,0.0063871126621961,0.0757024972607742
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,mutual_information,2,592,592,0.5,0.5270484272279036,0.5175866624498706,1.0,0.0013032138813287,0.0010898897890001,0.0002133240923285,0.0540968544558071
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,coexpression_probability,2,592,592,0.5,0.5303740184441199,0.5159079196121424,1.1,0.0213299877941608,0.0206273533403873,0.0007026344537734,0.0607480368882396
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,dorothea_ab,formal_abs,codetection_odds_ratio,2,592,592,0.5,0.5859046863586559,0.5571170632788064,1.2333333333333334,1.5725980401039124,1.4002292156219482,0.1723688244819641,0.171809372717312
