run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,1,57,57,0,0,0.0,0,0,0.0056283177812474,-0.0004506465759064
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,2,57,57,0,0,0.0,0,0,0.0064038175980541,-0.0016335542744648
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,3,57,57,0,0,0.0,0,0,0.0075052735776143,-0.0008824308623035
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,4,57,57,0,0,0.0,0,0,0.0067919967529023,0.000395416275233
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,5,57,57,0,0,0.0,0,0,0.0107479881152035,-0.0016761371386664
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,6,57,57,0,0,0.0,0,0,0.0053502835808366,0.0006205886368916
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,7,57,57,0,0,0.0,0,0,0.0064196625233058,-0.0025170604718299
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,8,57,57,0,0,0.0,0,0,0.0092842966532201,-0.0010703660224573
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,9,57,57,0,0,0.0,0,0,0.0087414894999856,-0.0010903876631142
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,0,265,265,0,0,0.0,0,0,0.0060269320255986,-0.0009982419777124
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,1,265,265,0,0,0.0,0,0,0.0058758705816745,-0.0011124190404884
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,2,265,265,0,0,0.0,0,0,0.0059269728708461,-0.0015012567820147
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,3,265,265,0,0,0.0,0,0,0.0051533405647121,-0.0022890012737103
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,4,265,265,0,0,0.0,0,0,0.0076353328149405,0.0012328455709431
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,5,265,265,0,0,0.0,0,0,0.005540243238447,0.001073224254818
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,6,265,265,0,0,0.0,0,0,0.0052488897520003,-0.0019055113134534
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,7,265,265,0,0,0.0,0,0,0.0111584994647155,0.0006643441038694
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,8,265,265,0,0,0.0,0,0,0.0058318104987158,-0.0030361461765146
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_union,9,265,265,0,0,0.0,0,0,0.0052464138259637,0.0003803033293002
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,0,310,310,0,0,0.0,0,0,0.0034403709213703,-0.0032202632923541
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,1,310,310,0,0,0.0,0,0,0.0068014447177349,-0.0029729262110824
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,2,310,310,0,0,0.0,0,0,0.0061836629429967,-0.0025617124762738
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,3,310,310,0,0,0.0,0,0,0.006118204826757,-0.001573795385207
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,4,310,310,0,0,0.0,0,0,0.0032755564195525,-0.0027342869727111
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,5,310,310,0,0,0.0,0,0,0.0082662628980336,-0.0011444979815736
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,6,310,310,0,0,0.0,0,0,0.0073962842183237,-0.0029046002920561
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,7,310,310,0,0,0.0,0,0,0.0079587915282844,-0.0044059863537552
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,8,310,310,0,0,0.0,0,0,0.004052556521285,-0.0049570602793133
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust,9,310,310,0,0,0.0,0,0,0.0066079401916468,-0.0036070007784974
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,0,476,476,0,0,0.0,0,0,0.0025673584294623,-0.0015170122661927
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,1,476,476,0,0,0.0,0,0,0.003222827439341,-0.0018557428044096
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,2,476,476,0,0,0.0,0,0,0.0042013248289599,-0.0030233676694418
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,3,476,476,0,0,0.0,0,0,0.0046270438027674,-0.0017473398428483
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,4,476,476,0,0,0.0,0,0,0.0045312221550356,-0.0027231879182925
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,5,476,476,0,0,0.0,0,0,0.0042303610290658,-0.0011443439807322
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,6,476,476,0,0,0.0,0,0,0.0035428241879909,-0.0014805513679709
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,7,476,476,0,0,0.0,0,0,0.0023309145778898,-0.0003862082717345
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,8,476,476,0,0,0.0,0,0,0.005595028406164,-0.0014845856377101
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,dorothea_ab,9,476,476,0,0,0.0,0,0,0.0028278634161019,-0.0021162065425645
adult_celltype__epithelial_cell,ZJU_HCL_adult_celltype,Epithelial cell,trrust_dorothea_intersection,0,140,140,0,0,0.0,0,0,0.0048521567260413,-0.002240264078471
