result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
server_nygc,NYGC_multimodal_PBMC,all,trrust,codetection_odds_ratio,top_500,10,500.0,0.5096,0.0071055533837196,0.0096,8.0,0.5096,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,codetection_odds_ratio,top_5pct,10,255.0,0.5403921568627451,0.0095701988066526,0.040392156862745,10.0,0.5403921568627451,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,coexpression_probability,top_100,10,100.0,0.5,0.0047140452079103,0.0,1.0,0.5,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,coexpression_probability,top_500,10,500.0,0.5014000000000001,0.0035339622081862,0.0014,7.0,0.5014000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,coexpression_probability,top_5pct,10,255.0,0.503921568627451,0.0059185523778675,0.0039215686274509,7.0,0.503921568627451,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,mutual_information,top_100,10,100.0,0.621,0.0110050493461461,0.121,10.0,0.621,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,mutual_information,top_500,10,500.0,0.4923999999999999,0.0080443216687991,-0.0076,1.0,0.4923999999999999,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,mutual_information,top_5pct,10,255.0,0.5388235294117647,0.0118659406200368,0.0388235294117646,10.0,0.5388235294117647,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,pearson,top_100,10,100.0,0.635,0.0190029237516523,0.135,10.0,0.635,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,pearson,top_500,10,500.0,0.5452,0.0091018923551338,0.0452,10.0,0.5452,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,pearson,top_5pct,10,255.0,0.5556862745098039,0.010301118067893,0.0556862745098039,10.0,0.5556862745098039,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
