context_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr,support_fraction,context_level
Adult tissues,Il6 Jak Stat3 Signaling,top_5pct,80,5,2.860965959328028,0.0011999820048838,0.0625,Adult tissues
Adult tissues,Inflammatory Response,top_100,80,34,2.465513700666259,7.94280722454781e-08,0.425,Adult tissues
Adult tissues,Inflammatory Response,top_500,80,57,1.913574520717377,1.1115455158635397e-07,0.7125,Adult tissues
Adult tissues,Inflammatory Response,top_5pct,80,16,2.3891914959892153,1.2433178203258331e-06,0.2,Adult tissues
Adult tissues,Interferon Alpha Response,top_100,80,1,1.076964171956408,0.0011705518227332,0.0125,Adult tissues
Adult tissues,Interferon Alpha Response,top_500,80,18,1.903935185185185,1.5577000407087309e-07,0.225,Adult tissues
Adult tissues,Interferon Alpha Response,top_5pct,80,0,0.0,0.222955407393063,0.0,Adult tissues
Adult tissues,Interferon Gamma Response,top_100,80,21,1.9201595618004288,2.283839460379772e-05,0.2625,Adult tissues
Adult tissues,Interferon Gamma Response,top_500,80,56,1.972222222222222,3.9653526986430643e-13,0.7,Adult tissues
Adult tissues,Interferon Gamma Response,top_5pct,80,10,1.338858234295416,0.0005231690347829,0.125,Adult tissues
Adult tissues,Kras Signaling Dn,top_100,80,0,0.0,0.4144736842105262,0.0,Adult tissues
Adult tissues,Kras Signaling Dn,top_500,80,0,0.0,0.3086778297462083,0.0,Adult tissues
Adult tissues,Kras Signaling Dn,top_5pct,80,0,0.0,1.0,0.0,Adult tissues
Adult tissues,Kras Signaling Up,top_100,80,10,2.255030153508772,0.0021683678596048,0.125,Adult tissues
Adult tissues,Kras Signaling Up,top_500,80,8,1.4691358024691357,0.0004095114274102,0.1,Adult tissues
Adult tissues,Kras Signaling Up,top_5pct,80,7,2.0620648844333056,0.0021683678596048,0.0875,Adult tissues
Adult tissues,Mitotic Spindle,top_100,80,0,0.0,0.0611233153204334,0.0,Adult tissues
